NOTE_ID,PRACTICE_ID,TERRITORY,NOTE_DATE,REP_NOTES
NP0001,P0001,Northeast,2026-05-23,Requested more training on injection techniques
NP0002,P0002,Southeast,2026-05-28,"Practice is ordering regularly, very satisfied with DAXXIFY results"
NP0003,P0003,Northeast,2026-05-06,"No orders in last 60 days, difficult to reach"
NP0004,P0004,Southwest,2026-05-20,"Practice is ordering regularly, very satisfied with DAXXIFY results"
NP0005,P0005,Southwest,2026-05-08,"Concerned about pricing, may switch to competitor Botox"
NP0006,P0006,Midwest,2026-05-22,"Expanding clinic, interested in bulk orders"
NP0007,P0007,Midwest,2026-05-20,"Practice is ordering regularly, very satisfied with DAXXIFY results"
NP0008,P0008,Midwest,2026-05-15,"Practice is ordering regularly, very satisfied with DAXXIFY results"
NP0009,P0009,Midwest,2026-06-02,"Strong advocate, referring other practices to us"
NP0010,P0010,West,2026-05-10,"No orders in last 60 days, difficult to reach"
NP0011,P0011,West,2026-05-05,"No orders in last 60 days, difficult to reach"
NP0012,P0012,Southwest,2026-05-23,"No orders in last 60 days, difficult to reach"
NP0013,P0013,Northeast,2026-05-28,"Concerned about pricing, may switch to competitor Botox"
NP0014,P0014,Southeast,2026-06-03,"Strong advocate, referring other practices to us"
NP0015,P0015,Midwest,2026-06-03,"Practice is ordering regularly, very satisfied with DAXXIFY results"
NP0016,P0016,Midwest,2026-05-24,"No orders in last 60 days, difficult to reach"
NP0017,P0017,Southeast,2026-05-13,"Concerned about pricing, may switch to competitor Botox"
NP0018,P0018,Southwest,2026-05-27,"Concerned about pricing, may switch to competitor Botox"
NP0019,P0019,Northeast,2026-05-09,Requested more training on injection techniques
NP0020,P0020,West,2026-05-11,Requested more training on injection techniques
NP0021,P0021,Southwest,2026-06-02,"Strong advocate, referring other practices to us"
NP0022,P0022,West,2026-05-18,"Concerned about pricing, may switch to competitor Botox"
NP0023,P0023,Southeast,2026-05-08,Complained about delivery delays last month
NP0024,P0024,West,2026-05-24,"No orders in last 60 days, difficult to reach"
NP0025,P0025,Southeast,2026-05-15,"No orders in last 60 days, difficult to reach"
NP0026,P0026,Northeast,2026-05-05,"Strong advocate, referring other practices to us"
NP0027,P0027,West,2026-05-21,"Concerned about pricing, may switch to competitor Botox"
NP0028,P0028,Southwest,2026-05-27,"No orders in last 60 days, difficult to reach"
NP0029,P0029,Southwest,2026-05-31,Complained about delivery delays last month
NP0030,P0030,Southwest,2026-05-24,Requested more training on injection techniques
NP0031,P0031,West,2026-06-03,"Strong advocate, referring other practices to us"
NP0032,P0032,Midwest,2026-05-14,Complained about delivery delays last month
NP0033,P0033,Northeast,2026-06-03,"Strong advocate, referring other practices to us"
NP0034,P0034,Southeast,2026-05-28,"Budget cuts mentioned, reducing orders significantly"
NP0035,P0035,Southwest,2026-05-27,"Concerned about pricing, may switch to competitor Botox"
NP0036,P0036,Northeast,2026-05-13,"Expanding clinic, interested in bulk orders"
NP0037,P0037,Southeast,2026-05-14,Complained about delivery delays last month
NP0038,P0038,West,2026-06-02,"Concerned about pricing, may switch to competitor Botox"
NP0039,P0039,West,2026-05-06,"No orders in last 60 days, difficult to reach"
NP0040,P0040,Southwest,2026-05-21,"Expanding clinic, interested in bulk orders"
NP0041,P0041,Southeast,2026-05-10,"Budget cuts mentioned, reducing orders significantly"
NP0042,P0042,Midwest,2026-05-31,Requested more training on injection techniques
NP0043,P0043,Southeast,2026-05-26,"Concerned about pricing, may switch to competitor Botox"
NP0044,P0044,Southwest,2026-05-15,Complained about delivery delays last month
NP0045,P0045,Northeast,2026-05-14,"Strong advocate, referring other practices to us"
NP0046,P0046,Northeast,2026-05-13,Requested more training on injection techniques
NP0047,P0047,Midwest,2026-05-24,Requested more training on injection techniques
NP0048,P0048,Southwest,2026-05-14,Complained about delivery delays last month
NP0049,P0049,West,2026-05-07,"Budget cuts mentioned, reducing orders significantly"
NP0050,P0050,West,2026-06-01,Complained about delivery delays last month
NP0051,P0051,Northeast,2026-06-03,"Budget cuts mentioned, reducing orders significantly"
NP0052,P0052,Midwest,2026-05-22,"No orders in last 60 days, difficult to reach"
NP0053,P0053,Southwest,2026-05-18,"Practice is ordering regularly, very satisfied with DAXXIFY results"
NP0054,P0054,Midwest,2026-05-27,"Practice is ordering regularly, very satisfied with DAXXIFY results"
NP0055,P0055,Northeast,2026-05-15,"Concerned about pricing, may switch to competitor Botox"
NP0056,P0056,Southwest,2026-05-25,"No orders in last 60 days, difficult to reach"
NP0057,P0057,Southeast,2026-05-11,"Strong advocate, referring other practices to us"
NP0058,P0058,Southeast,2026-05-10,"No orders in last 60 days, difficult to reach"
NP0059,P0059,Northeast,2026-05-15,"Concerned about pricing, may switch to competitor Botox"
NP0060,P0060,West,2026-06-02,Requested more training on injection techniques
NP0061,P0061,Southwest,2026-05-23,"Budget cuts mentioned, reducing orders significantly"
NP0062,P0062,Southeast,2026-05-25,"No orders in last 60 days, difficult to reach"
NP0063,P0063,Northeast,2026-05-30,"Strong advocate, referring other practices to us"
NP0064,P0064,Southwest,2026-05-28,"Practice is ordering regularly, very satisfied with DAXXIFY results"
